title,year,location,project_id,publication_date
N.H Apartment / Nguyen Thanh Trung Architects,2022,Vietnam,992085,2022-11-11T20:00:00.000Z
No. 6 Sydney Street Apartments / Wood Marsh,2022,"Prahran, Australia",992095,2022-11-11T18:00:00.000Z
Sidewalk Citizen Solarium / Studio North,2019,"Calgary, Canada",992041,2022-11-11T16:00:00.000Z
Dashed House / G&A Evripiotis,2021,"Paros, Greece",992053,2022-11-11T14:00:00.000Z
Isala Meppel Hospital / Vakwerk Architecten,2021,"Meppel, The Netherlands",991844,2022-11-11T12:00:00.000Z
Le Costil House Renovation / Anatomies d'Architecture,2022,"Sap-en-Auge, France",991971,2022-11-11T10:00:00.000Z
UCLA Margo Leavin Graduate Art Studios / Johnston Marklee,2019,"Culver City, United States",992037,2022-11-11T07:00:00.000Z
The Tourist Service Station of Tangshan Ape Man Cave / AESEU Architectural Technology and Art studio,2019,"Nanjing, China",991934,2022-11-11T06:00:00.000Z
BD House / Space Encounters + Studio Vincent Architecture,,"Bergen, The Netherlands",992069,2022-11-11T03:00:00.000Z
Bon Pastor 54 Social Housing Units / Peris+Toral.arquitectes,2022,"Barcelona, Spain",991969,2022-11-11T02:00:00.000Z
Modus Operandi Merewether Brewery / Prevalent,2021,"Merewether, Australia",992018,2022-11-11T01:00:00.000Z
Khao Niao Restaurant + Onda Cafe / ASWA,2022,"Bangkok, Thailand",992056,2022-11-11T00:00:00.000Z
The Great Lawn City Library Of Central Park Of Pingshan / CM Design,2022,"Shenzhen, China",991939,2022-11-10T22:00:00.000Z
Glyfada Residence / SAOTA + ARRCC,2021,"Athens, Greece",992029,2022-11-10T20:00:00.000Z
Dune House / Herbst Architects,2020,New Zealand,992024,2022-11-10T18:00:00.000Z
Promega Corporation Kornberg Center / SmithGroup,2021,"Fitchburg, United States",992025,2022-11-10T16:00:00.000Z
Mobile Pavilion Zvaigznaja KUBS / NOONSOON,2022,Latvia,991843,2022-11-10T14:00:00.000Z
68 Mannheim Court / Florian Budke,2022,"Mannheim, Germany",991956,2022-11-10T12:00:00.000Z
Holzbox House / HGA Henning Grahn Architektur,190,"Mainz, Germany",991955,2022-11-10T10:00:00.000Z
The Transformation of the Former Qianshao Weaving Factory / TJAD Original Design Studio,2021,"Shanghai, China",991871,2022-11-10T07:00:00.000Z
Poolhouse / HEIMA architects,2022,Lithuania,991959,2022-11-10T06:00:00.000Z
La Chesnaie Gymnasium / Bohuon Bertic Architectes,2022,"Basse-Goulaine, France",991967,2022-11-10T03:00:00.000Z
San José Chapel / Acrónimo | Arquitectura y Construcción,2022,"Montemorelos, Mexico",991722,2022-11-10T02:00:00.000Z
Rodda Lane Intervention / Sibling Architecture,2021,"Melbourne, Australia",968590,2022-11-10T01:00:00.000Z
Tube House / Volume Matrix Studio,2020,"Bang Phra, Thailand",991938,2022-11-10T00:00:00.000Z
Qingli Home Stay / HEI Architectural Design Studio,2022,"Huzhou, China",991867,2022-11-09T22:00:00.000Z
Frammed Earth House / D'WELL,2022,"Surat, India",991945,2022-11-09T20:00:00.000Z
Nof Yam Health Clinic / Doron Sheinman Architects,2021,"Herzliya, Israel",991946,2022-11-09T18:00:00.000Z
HH House / BILBAO | LOPEZ,2021,"City Bell, Argentina",991953,2022-11-09T16:00:00.000Z
